food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Meat,Bâton de poulet,100g,185 cal,777 kJ,1 unité (71 g),131 cal,552 kJ,1 once (28 g),52 cal,218 kJ
Meat,Graisses de poulet,100g,898 cal,3772 kJ,1 tasse (205 g),1841 cal,7733 kJ,1 once (28 g),251 cal,1056 kJ
Meat,Giblets de poulet,100g,158 cal,664 kJ,1 tasse (145 g),229 cal,963 kJ,1 once (28 g),44 cal,186 kJ
Meat,Jambe de poulet,100g,174 cal,731 kJ,1 cuisse (199 g),346 cal,1455 kJ,1 once (28 g),49 cal,205 kJ
Meat,Viande de poulet,100g,172 cal,722 kJ,1 poitrine (200 g),344 cal,1444 kJ,1 once (28 g),48 cal,202 kJ
Meat,Cuisse de poulet,100g,229 cal,962 kJ,1 cuisse (111 g),254 cal,1068 kJ,1 once (28 g),64 cal,269 kJ
Meat,Steak de boeuf,100g,277 cal,1163 kJ,1 steak (310 g),859 cal,3605 kJ,1 once (28 g),78 cal,326 kJ
Meat,Steak en cubes,100g,199 cal,836 kJ,1 portion (165 g),328 cal,1379 kJ,1 once (28 g),56 cal,234 kJ
Meat,Filet Mignon,100g,267 cal,1121 kJ,1 filet (104 g),278 cal,1166 kJ,1 once (28 g),75 cal,314 kJ
Meat,Jambon,100g,163 cal,685 kJ,1 part (145 g),236 cal,993 kJ,1 once (28 g),46 cal,192 kJ
Meat,Porc,100g,196 cal,823 kJ,1 côtelette (185 g),363 cal,1523 kJ,1 once (28 g),55 cal,230 kJ
Meat,Côtes levées de porc,100g,212 cal,890 kJ,1 côtes (70 g),148 cal,623 kJ,1 once (28 g),59 cal,249 kJ
Meat,Côtes de porc à la paysanne,100g,247 cal,1037 kJ,1 côtes (60 g),148 cal,622 kJ,1 once (28 g),69 cal,290 kJ
Meat,Longes de porc,100g,204 cal,857 kJ,1 côtelette (83 g),169 cal,711 kJ,1 once (28 g),57 cal,240 kJ
Meat,Rôti de porc,100g,254 cal,1067 kJ,1 rôti (830 g),2108 cal,8856 kJ,1 once (28 g),71 cal,299 kJ
Meat,Steaks de porc,100g,196 cal,823 kJ,1 steak (264 g),517 cal,2173 kJ,1 once (28 g),55 cal,230 kJ
Meat,Rôti de boeuf,100g,140 cal,588 kJ,1 rôti (515 g),721 cal,3028 kJ,1 once (28 g),39 cal,165 kJ
Meat,Steak rond,100g,182 cal,764 kJ,1 steak (236 g),430 cal,1803 kJ,1 once (28 g),51 cal,214 kJ
Meat,Escalope,100g,156 cal,655 kJ,1 schnitzel (130 g),203 cal,852 kJ,1 once (28 g),44 cal,183 kJ
Meat,Rôti de côte ,100g,333 cal,1399 kJ,1 portion (113 g),376 cal,1581 kJ,1 once (28 g),93 cal,392 kJ
Meat,Steak de dinde,100g,189 cal,794 kJ,1 steak (170 g),321 cal,1350 kJ,1 once (28 g),53 cal,222 kJ
Milk & Dairy Products,Lait d'amande,100ml,17 cal,71 kJ,1 tasse (235 ml),40 cal,167 kJ,1 once (30 ml),5 cal,21 kJ
Milk & Dairy Products,Babeurre,100ml,62 cal,260 kJ,1 tasse (254 ml),157 cal,660 kJ,1 once (30 ml),19 cal,78 kJ
Milk & Dairy Products,Mousse au chocolat,100g,225 cal,945 kJ,1/2 tasse (202 g),455 cal,1909 kJ,1 once (28 g),63 cal,265 kJ
Milk & Dairy Products,Lait de coco,100ml,230 cal,966 kJ,1 tasse (240 ml),552 cal,2318 kJ,1 once (30 ml),69 cal,290 kJ
Milk & Dairy Products,Crème à café,100g,195 cal,819 kJ,1 c. à soupe (15 g),29 cal,123 kJ,1 once (28 g),55 cal,229 kJ
Milk & Dairy Products,Lait concentré,100g,321 cal,1348 kJ,1 tasse (306 g),982 cal,4125 kJ,1 once (28 g),90 cal,377 kJ
Milk & Dairy Products,Crème,100g,242 cal,1016 kJ,1 c. à soupe (15 g),36 cal,152 kJ,1 once (28 g),68 cal,284 kJ
Milk & Dairy Products,Crème fraîche,100g,393 cal,1651 kJ,1 c. à soupe (14 g),55 cal,231 kJ,1 once (28 g),110 cal,462 kJ
Milk & Dairy Products,Lait caillé,100g,98 cal,412 kJ,1 tasse (210 g),206 cal,865 kJ,1 once (28 g),27 cal,115 kJ
Milk & Dairy Products,Crème pâtissière,100g,122 cal,512 kJ,1/2 tasse (141 g),172 cal,722 kJ,1 once (28 g),34 cal,143 kJ
Milk & Dairy Products,Lait évaporé,100g,135 cal,567 kJ,1 tasse (252 g),340 cal,1429 kJ,1 once (28 g),38 cal,159 kJ
Milk & Dairy Products,Lait de chèvre,100g,69 cal,290 kJ,1 tasse (244 g),168 cal,708 kJ,1 once (28 g),19 cal,81 kJ
Milk & Dairy Products,Chocolat chaud,100ml,89 cal,374 kJ,1 tasse (266 ml),237 cal,995 kJ,1 once (30 ml),27 cal,112 kJ
Milk & Dairy Products,Kéfir,100ml,55 cal,231 kJ,1 tasse (246 ml),135 cal,568 kJ,1 once (30 ml),17 cal,69 kJ
Milk & Dairy Products,Lait sans lactose,100ml,52 cal,218 kJ,1 tasse (250 ml),130 cal,545 kJ,1 once (30 ml),16 cal,65 kJ
Milk & Dairy Products,Lassi,100ml,75 cal,315 kJ,1 verre (200 ml),150 cal,630 kJ,1 once (30 ml),23 cal,95 kJ
Milk & Dairy Products,Lait,100ml,61 cal,256 kJ,1 tasse (244 ml),149 cal,625 kJ,1 once (30 ml),18 cal,77 kJ
Milk & Dairy Products,Yogourt nature,100g,61 cal,256 kJ,1 pots (227 g),138 cal,581 kJ,1 once (28 g),17 cal,72 kJ
Milk & Dairy Products,Lait en poudre,100g,496 cal,2083 kJ,1 tasse (68 g),337 cal,1416 kJ,1 once (28 g),139 cal,583 kJ
Milk & Dairy Products,Fromage blanc,100g,145 cal,609 kJ,1 tasse (220 g),319 cal,1340 kJ,1 once (28 g),41 cal,171 kJ
Milk & Dairy Products,Lait de riz,100ml,49 cal,206 kJ,1 tasse (245 ml),120 cal,505 kJ,1 once (30 ml),15 cal,62 kJ
Milk & Dairy Products,Riz au lait,100g,118 cal,496 kJ,1 portion (113 g),133 cal,560 kJ,1 once (28 g),33 cal,139 kJ
Milk & Dairy Products,Lait demi-écrémé,100ml,50 cal,210 kJ,1 portion (250 ml),125 cal,525 kJ,1 once (30 ml),15 cal,63 kJ
Milk & Dairy Products,Pouding à la semoule,100g,67 cal,281 kJ,1 portion (143 g),96 cal,402 kJ,1 once (28 g),19 cal,79 kJ
Milk & Dairy Products,Lait écrémé,100ml,35 cal,147 kJ,1 tasse (247 ml),86 cal,363 kJ,1 once (30 ml),11 cal,44 kJ
Milk & Dairy Products,Lait de soja,100ml,45 cal,189 kJ,1 tasse (243 ml),109 cal,459 kJ,1 once (30 ml),14 cal,57 kJ
Milk & Dairy Products,Lait concentré sucré,100ml,321 cal,1348 kJ,1 tasse (306 ml),982 cal,4125 kJ,1 once (30 ml),96 cal,404 kJ
Milk & Dairy Products,Crème fouettée,100g,257 cal,1079 kJ,1 c. à soupe (3 g),8 cal,32 kJ,1 once (28 g),72 cal,302 kJ
Milk & Dairy Products,Lait entier,100ml,61 cal,256 kJ,1 tasse (244 ml),149 cal,625 kJ,1 once (30 ml),18 cal,77 kJ
Milk & Dairy Products,Yogourt,100g,61 cal,256 kJ,1 pots (227 g),138 cal,581 kJ,1 once (28 g),17 cal,72 kJ
Non-Alcoholic Drinks & Beverages,Boisson ACE,100ml,44 cal,185 kJ,1/2 litre (500 ml),220 cal,925 kJ,1 once (30 ml),13 cal,56 kJ
Non-Alcoholic Drinks & Beverages,Spritzer pomme,100ml,24 cal,101 kJ,1/2 litre (500 ml),120 cal,505 kJ,1 once (30 ml),7 cal,30 kJ
Non-Alcoholic Drinks & Beverages,Chai,100ml,0 cal,0 kJ,1 tasse (236 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Thé Chai,100ml,0 cal,0 kJ,1 tasse (236 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Lait chocolaté,100ml,89 cal,374 kJ,1 tasse (266 ml),237 cal,995 kJ,1 once (30 ml),27 cal,112 kJ
Non-Alcoholic Drinks & Beverages,Milkshake au chocolat,100ml,125 cal,525 kJ,10 once (283 ml),354 cal,1486 kJ,1 once (30 ml),38 cal,158 kJ
Non-Alcoholic Drinks & Beverages,Club Mate,100ml,30 cal,126 kJ,1/2 litre (500 ml),150 cal,630 kJ,1 once (30 ml),9 cal,38 kJ
Non-Alcoholic Drinks & Beverages,Coca Cola,100ml,42 cal,176 kJ,1 canette(330 ml),139 cal,581 kJ,1 once (30 ml),13 cal,53 kJ
Non-Alcoholic Drinks & Beverages,Café,100ml,1 cal,4 kJ,1 tasse (237 ml),2 cal,9 kJ,1 once (30 ml),0 cal,1 kJ
Non-Alcoholic Drinks & Beverages,Cola,100ml,42 cal,176 kJ,1 canette(330 ml),139 cal,581 kJ,1 once (30 ml),13 cal,53 kJ
Non-Alcoholic Drinks & Beverages,Crème aux oeufs,100ml,94 cal,395 kJ,1 portion (125 ml),118 cal,494 kJ,1 once (30 ml),28 cal,119 kJ
Non-Alcoholic Drinks & Beverages,Lait de poule,100ml,88 cal,370 kJ,1 tasse (254 ml),224 cal,940 kJ,1 once (30 ml),26 cal,111 kJ
Non-Alcoholic Drinks & Beverages,Cordial de fleurs de sureau,100ml,29 cal,122 kJ,8 once (227 ml),66 cal,277 kJ,1 once (30 ml),9 cal,37 kJ
Non-Alcoholic Drinks & Beverages,Evian,100ml,0 cal,0 kJ,1 bouteille (500 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Thé au gingembre,100ml,0 cal,0 kJ,1 tasse (254 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Punch hawaïen,100ml,31 cal,130 kJ,8 once (227 ml),70 cal,295 kJ,1 once (30 ml),9 cal,39 kJ
Non-Alcoholic Drinks & Beverages,Hi-C,100ml,49 cal,206 kJ,12 once (253 ml),124 cal,521 kJ,1 once (30 ml),15 cal,62 kJ
Non-Alcoholic Drinks & Beverages,Horchata,100ml,54 cal,227 kJ,8 once (240 ml),130 cal,545 kJ,1 once (30 ml),16 cal,68 kJ
Non-Alcoholic Drinks & Beverages,Ice tea,100ml,27 cal,113 kJ,12 once (355 ml),96 cal,401 kJ,1 once (30 ml),8 cal,34 kJ
Non-Alcoholic Drinks & Beverages,Thé glacé,100ml,27 cal,113 kJ,12 once (355 ml),96 cal,401 kJ,1 once (30 ml),8 cal,34 kJ
Non-Alcoholic Drinks & Beverages,Karamalz,100ml,37 cal,155 kJ,1 tasse (237 ml),88 cal,367 kJ,1 once (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Kombucha,100ml,13 cal,55 kJ,8 once (227 ml),30 cal,125 kJ,1 once (30 ml),4 cal,17 kJ
Non-Alcoholic Drinks & Beverages,Latte Macchiato,100ml,57 cal,239 kJ,1 tasse (300 ml),171 cal,717 kJ,1 once (30 ml),17 cal,72 kJ
Non-Alcoholic Drinks & Beverages,Bière de malt,100ml,37 cal,155 kJ,1 tasse (237 ml),88 cal,367 kJ,1 once (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Milkshake (sec),100g,329 cal,1382 kJ,1 c. à soupe (7 g),23 cal,97 kJ,1 once (28 g),92 cal,387 kJ
Non-Alcoholic Drinks & Beverages,Milo,100g,409 cal,1718 kJ,3 c. à soupe (24 g),98 cal,412 kJ,1 once (28 g),115 cal,481 kJ
Non-Alcoholic Drinks & Beverages,Nectar,100ml,53 cal,223 kJ,8 once (227 ml),120 cal,506 kJ,1 once (30 ml),16 cal,67 kJ
Non-Alcoholic Drinks & Beverages,Nestea,100ml,36 cal,151 kJ,1 tasse (240 ml),86 cal,362 kJ,1 once (30 ml),11 cal,45 kJ
Non-Alcoholic Drinks & Beverages,Bière sans alcool,100ml,37 cal,155 kJ,"1 can, bouteille (354 ml)",131 cal,549 kJ,1 once (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Powerade,100ml,16 cal,67 kJ,1 bouteille (500 ml),80 cal,335 kJ,1 once (30 ml),5 cal,20 kJ
Non-Alcoholic Drinks & Beverages,Smoothie,100ml,37 cal,155 kJ,8 once (240 ml),89 cal,372 kJ,1 once (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Milkshake à la fraise,100ml,113 cal,475 kJ,10 once (283 ml),320 cal,1344 kJ,1 once (30 ml),34 cal,143 kJ
Non-Alcoholic Drinks & Beverages,Tang,100g,381 cal,1600 kJ,1/8 tasse (24 g),91 cal,384 kJ,1 once (28 g),107 cal,448 kJ
Non-Alcoholic Drinks & Beverages,Eau du robinet,100ml,0 cal,0 kJ,1 once (29.6 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Thé,100ml,1 cal,4 kJ,1 tasse (237 ml),2 cal,9 kJ,1 once (30 ml),0 cal,1 kJ
Non-Alcoholic Drinks & Beverages,Milkshake à la vanille,100ml,149 cal,626 kJ,10 once (283 ml),422 cal,1772 kJ,1 once (30 ml),45 cal,188 kJ
Non-Alcoholic Drinks & Beverages,Volvic,100ml,0 cal,0 kJ,1/2 litre (500 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Eau,100ml,0 cal,0 kJ,1 once (29.6 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Yerba Mate,100ml,62 cal,260 kJ,1 portion (50 ml),31 cal,130 kJ,1 once (30 ml),19 cal,78 kJ
Nuts & Seeds,Gland,100g,387 cal,1625 kJ,1 once (28.35 g),108 cal,455 kJ,1 once (28 g),108 cal,455 kJ
Nuts & Seeds,Germes de luzerne,100g,23 cal,97 kJ,1 tasse (33 g),8 cal,32 kJ,1 once (28 g),6 cal,27 kJ
Nuts & Seeds,Amandes,100g,575 cal,2415 kJ,1 tasse (95 g),546 cal,2294 kJ,1 once (28 g),161 cal,676 kJ
Nuts & Seeds,Noix de marronnier,100g,576 cal,2419 kJ,1 once (28.35 g),161 cal,677 kJ,1 once (28 g),161 cal,677 kJ
Nuts & Seeds,Noix du Brésil,100g,656 cal,2755 kJ,1 tasse (133 g),872 cal,3664 kJ,1 once (28 g),184 cal,771 kJ
Nuts & Seeds,Y,100g,612 cal,2570 kJ,1 tasse (120 g),734 cal,3084 kJ,1 once (28 g),171 cal,720 kJ
Nuts & Seeds,Noix de cajou,100g,553 cal,2323 kJ,1 once (28.35 g),155 cal,650 kJ,1 once (28 g),155 cal,650 kJ
Nuts & Seeds,Marron,100g,213 cal,895 kJ,1 tasse (145 g),309 cal,1298 kJ,1 once (28 g),60 cal,251 kJ
Nuts & Seeds,Graines de chia,100g,486 cal,2041 kJ,1 once (28.35 g),136 cal,571 kJ,1 once (28 g),136 cal,571 kJ
Nuts & Seeds,Noix de coco,100g,354 cal,1487 kJ,1 coconut (397 g),1405 cal,5903 kJ,1 once (28 g),99 cal,416 kJ
Nuts & Seeds,Graines de coton,100g,506 cal,2125 kJ,1 tasse (149 g),754 cal,3166 kJ,1 once (28 g),142 cal,595 kJ
Nuts & Seeds,Graines de lin,100g,534 cal,2243 kJ,1 tasse (168 g),897 cal,3768 kJ,1 once (28 g),150 cal,628 kJ
Nuts & Seeds,Noix de ginkgo,100g,182 cal,764 kJ,1 once (28.35 g),51 cal,214 kJ,1 once (28 g),51 cal,214 kJ
Nuts & Seeds,Haricot de Goa,100g,409 cal,1718 kJ,1 tasse (182 g),744 cal,3127 kJ,1 once (28 g),115 cal,481 kJ
Nuts & Seeds,Noisette,100g,628 cal,2638 kJ,1 tasse (75 g),471 cal,1979 kJ,1 once (28 g),176 cal,739 kJ
Nuts & Seeds,Noix de caryer,100g,657 cal,2759 kJ,1 tasse (120 g),788 cal,3311 kJ,1 once (28 g),184 cal,773 kJ
Nuts & Seeds,Haricots de Lima,100g,71 cal,298 kJ,1/2 tasse (124 g),88 cal,370 kJ,1 once (28 g),20 cal,83 kJ
Nuts & Seeds,Graine de lotus,100g,89 cal,374 kJ,1 once (28.35 g),25 cal,105 kJ,1 once (28 g),25 cal,105 kJ
Nuts & Seeds,Noix de macadamia,100g,718 cal,3016 kJ,1 tasse (134 g),962 cal,4041 kJ,1 once (28 g),201 cal,844 kJ
Nuts & Seeds,Cacahuètes,100g,567 cal,2381 kJ,1 tasse (146 g),828 cal,3476 kJ,1 once (28 g),159 cal,667 kJ
Nuts & Seeds,Noix de pécan,100g,691 cal,2902 kJ,1 tasse (99 g),684 cal,2873 kJ,1 once (28 g),193 cal,813 kJ
Nuts & Seeds,Noix de pili,100g,719 cal,3020 kJ,1 tasse (120 g),863 cal,3624 kJ,1 once (28 g),201 cal,846 kJ
Nuts & Seeds,Noix de pin,100g,673 cal,2827 kJ,1 tasse (135 g),909 cal,3816 kJ,1 once (28 g),188 cal,792 kJ
Nuts & Seeds,Haricots pinto,100g,347 cal,1457 kJ,1 tasse (193 g),670 cal,2812 kJ,1 once (28 g),97 cal,408 kJ
Nuts & Seeds,Pistaches,100g,562 cal,2360 kJ,1 tasse (123 g),691 cal,2903 kJ,1 once (28 g),157 cal,661 kJ
Nuts & Seeds,Graines de pavot,100g,525 cal,2205 kJ,1 c. à soupe (8.8 g),42 cal,176 kJ,1 once (28 g),147 cal,617 kJ
Nuts & Seeds,Graines de citrouille,100g,559 cal,2348 kJ,1 tasse (129 g),721 cal,3029 kJ,1 once (28 g),157 cal,657 kJ
Nuts & Seeds,Graines de radis,100g,43 cal,181 kJ,1 tasse (38 g),16 cal,69 kJ,1 once (28 g),12 cal,51 kJ
Nuts & Seeds,Graines de carthame,100g,517 cal,2171 kJ,1 once (28.35 g),145 cal,608 kJ,1 once (28 g),145 cal,608 kJ
Nuts & Seeds,Graines de sésame,100g,573 cal,2407 kJ,1 tasse (144 g),825 cal,3466 kJ,1 once (28 g),160 cal,674 kJ
Nuts & Seeds,Amandes fumées,100g,575 cal,2415 kJ,1 tasse (95 g),546 cal,2294 kJ,1 once (28 g),161 cal,676 kJ
Nuts & Seeds,Fèves de soja,100g,147 cal,617 kJ,1 tasse (256 g),376 cal,1580 kJ,1 once (28 g),41 cal,173 kJ
Nuts & Seeds,Graines de tournesol,100g,584 cal,2453 kJ,1 tasse (140 g),818 cal,3434 kJ,1 once (28 g),164 cal,687 kJ
Nuts & Seeds,Châtaigne douce,100g,194 cal,815 kJ,1 once (28.35 g),54 cal,228 kJ,1 once (28 g),54 cal,228 kJ
Nuts & Seeds,Noix,100g,654 cal,2747 kJ,1 tasse (80 g),523 cal,2198 kJ,1 once (28 g),183 cal,769 kJ
"Oatmeal, Muesli & Cereals",Flocons de son,100g,356 cal,1495 kJ,1 portion (37.5 g),132 cal,553 kJ,1 once (28 g),100 cal,419 kJ
"Oatmeal, Muesli & Cereals",Cap'n Crunch,100g,404 cal,1697 kJ,1 portion (37.5 g),149 cal,628 kJ,1 once (28 g),113 cal,475 kJ
"Oatmeal, Muesli & Cereals",Cheerios,100g,347 cal,1457 kJ,1 portion (37.5 g),128 cal,539 kJ,1 once (28 g),97 cal,408 kJ
"Oatmeal, Muesli & Cereals",Chex,100g,387 cal,1625 kJ,1 portion (37.5 g),143 cal,601 kJ,1 once (28 g),108 cal,455 kJ
"Oatmeal, Muesli & Cereals",Cheerios au chocolat,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Chocos,100g,380 cal,1596 kJ,1 portion (37.5 g),141 cal,591 kJ,1 once (28 g),106 cal,447 kJ
"Oatmeal, Muesli & Cereals",Toast croustillant à la cannelle,100g,433 cal,1819 kJ,1 portion (37.5 g),160 cal,673 kJ,1 once (28 g),121 cal,509 kJ
"Oatmeal, Muesli & Cereals",Boules de coco,100g,376 cal,1579 kJ,1 portion (37.5 g),139 cal,584 kJ,1 once (28 g),105 cal,442 kJ
"Oatmeal, Muesli & Cereals",Cacao Krispies,100g,386 cal,1621 kJ,1 portion (37.5 g),143 cal,600 kJ,1 once (28 g),108 cal,454 kJ
"Oatmeal, Muesli & Cereals",Galets de cacao,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Cacao Puffs,100g,400 cal,1680 kJ,1 portion (37.5 g),148 cal,622 kJ,1 once (28 g),112 cal,470 kJ
"Oatmeal, Muesli & Cereals",Croustillant de biscuits,100g,400 cal,1680 kJ,1 portion (37.5 g),148 cal,622 kJ,1 once (28 g),112 cal,470 kJ
"Oatmeal, Muesli & Cereals",Corn Flakes,100g,357 cal,1499 kJ,1 portion (37.5 g),132 cal,555 kJ,1 once (28 g),100 cal,420 kJ
"Oatmeal, Muesli & Cereals",Corn Pops,100g,377 cal,1583 kJ,1 portion (37.5 g),139 cal,586 kJ,1 once (28 g),106 cal,443 kJ
"Oatmeal, Muesli & Cereals",Le comte Chocula,100g,407 cal,1709 kJ,1 portion (37.5 g),151 cal,632 kJ,1 once (28 g),114 cal,479 kJ
"Oatmeal, Muesli & Cereals",Son d'avoine Cracklin,100g,402 cal,1688 kJ,1 portion (37.5 g),149 cal,625 kJ,1 once (28 g),113 cal,473 kJ
"Oatmeal, Muesli & Cereals",Crème de blé,100g,364 cal,1529 kJ,1 portion (37.5 g),135 cal,566 kJ,1 once (28 g),102 cal,428 kJ
"Oatmeal, Muesli & Cereals",Noix croquante,100g,600 cal,2520 kJ,1 portion (37.5 g),222 cal,932 kJ,1 once (28 g),168 cal,706 kJ
"Oatmeal, Muesli & Cereals",Cornflakes aux noix croquantes,100g,600 cal,2520 kJ,1 portion (37.5 g),222 cal,932 kJ,1 once (28 g),168 cal,706 kJ
"Oatmeal, Muesli & Cereals",Fracine Loops,100g,379 cal,1592 kJ,1 portion (37.5 g),140 cal,589 kJ,1 once (28 g),106 cal,446 kJ
"Oatmeal, Muesli & Cereals",Cheerios givrés,100g,393 cal,1651 kJ,1 portion (37.5 g),145 cal,611 kJ,1 once (28 g),110 cal,462 kJ
"Oatmeal, Muesli & Cereals",Flocons givrés,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Mini-Wheats givrés,100g,353 cal,1483 kJ,1 portion (37.5 g),131 cal,549 kJ,1 once (28 g),99 cal,415 kJ
"Oatmeal, Muesli & Cereals",Frosties,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Galets fruités,100g,400 cal,1680 kJ,1 portion (37.5 g),148 cal,622 kJ,1 once (28 g),112 cal,470 kJ
"Oatmeal, Muesli & Cereals",Golden Grahams,100g,400 cal,1680 kJ,1 portion (37.5 g),148 cal,622 kJ,1 once (28 g),112 cal,470 kJ
"Oatmeal, Muesli & Cereals",Cheerios au miel et aux noix,100g,393 cal,1651 kJ,1 portion (37.5 g),145 cal,611 kJ,1 once (28 g),110 cal,462 kJ
"Oatmeal, Muesli & Cereals",Smacks au miel,100g,370 cal,1554 kJ,1 portion (37.5 g),137 cal,575 kJ,1 once (28 g),104 cal,435 kJ
"Oatmeal, Muesli & Cereals",Kashi,100g,377 cal,1583 kJ,1 portion (37.5 g),139 cal,586 kJ,1 once (28 g),106 cal,443 kJ
"Oatmeal, Muesli & Cereals",Kelloggs Corn Flakes,100g,357 cal,1499 kJ,1 portion (37.5 g),132 cal,555 kJ,1 once (28 g),100 cal,420 kJ
"Oatmeal, Muesli & Cereals",Kix,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Collier,100g,372 cal,1562 kJ,1 portion (37.5 g),138 cal,578 kJ,1 once (28 g),104 cal,437 kJ
"Oatmeal, Muesli & Cereals",Lucky Charms,100g,406 cal,1705 kJ,1 portion (37.5 g),150 cal,631 kJ,1 once (28 g),114 cal,477 kJ
"Oatmeal, Muesli & Cereals",Malt-O-Meal,100g,51 cal,214 kJ,1 tasse (240 g),122 cal,514 kJ,1 once (28 g),14 cal,60 kJ
"Oatmeal, Muesli & Cereals",Mini-Wheats,100g,353 cal,1483 kJ,1 portion (37.5 g),131 cal,549 kJ,1 once (28 g),99 cal,415 kJ
"Oatmeal, Muesli & Cereals",Muesli,100g,336 cal,1411 kJ,1 portion (37.5 g),124 cal,522 kJ,1 once (28 g),94 cal,395 kJ
"Oatmeal, Muesli & Cereals",Cheerios multigrains,100g,380 cal,1596 kJ,1 portion (37.5 g),141 cal,591 kJ,1 once (28 g),106 cal,447 kJ
"Oatmeal, Muesli & Cereals",Nutri-Grain,100g,351 cal,1474 kJ,1 portion (37.5 g),130 cal,545 kJ,1 once (28 g),98 cal,413 kJ
"Oatmeal, Muesli & Cereals",Oatibix,100g,421 cal,1768 kJ,1 biscuit (24 g),101 cal,424 kJ,1 once (28 g),118 cal,495 kJ
"Oatmeal, Muesli & Cereals",Flocons d'avoine,100g,375 cal,1575 kJ,1 tasse (175 g),656 cal,2756 kJ,1 once (28 g),105 cal,441 kJ
"Oatmeal, Muesli & Cereals",Toast croustillant au beurre de cacahuète,100g,431 cal,1810 kJ,1 portion (37.5 g),159 cal,670 kJ,1 once (28 g),121 cal,507 kJ
"Oatmeal, Muesli & Cereals",Post Raisin Bran,100g,322 cal,1352 kJ,1 portion (37.5 g),119 cal,500 kJ,1 once (28 g),90 cal,379 kJ
"Oatmeal, Muesli & Cereals",Puff,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Riz soufflé,100g,383 cal,1609 kJ,1 portion (37.5 g),142 cal,595 kJ,1 once (28 g),107 cal,451 kJ
"Oatmeal, Muesli & Cereals",Blé soufflé,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Quaker Grits,100g,344 cal,1445 kJ,1 portion (37.5 g),127 cal,535 kJ,1 once (28 g),96 cal,405 kJ
"Oatmeal, Muesli & Cereals",Flocons d'avoine Quaker,100g,375 cal,1575 kJ,1 portion (37.5 g),139 cal,583 kJ,1 once (28 g),105 cal,441 kJ
"Oatmeal, Muesli & Cereals",Quaker Oatmeal Squares,100g,400 cal,1680 kJ,1 portion (37.5 g),148 cal,622 kJ,1 once (28 g),112 cal,470 kJ
"Oatmeal, Muesli & Cereals",Son de raisin,100g,322 cal,1352 kJ,1 portion (37.5 g),119 cal,500 kJ,1 once (28 g),90 cal,379 kJ
"Oatmeal, Muesli & Cereals",Croustillant au son et aux raisins,100g,355 cal,1491 kJ,100g,355 cal,1491 kJ,1 portion (37.5 g),131 cal,552 kJ
"Oatmeal, Muesli & Cereals",Son aux raisins et aux noix,100g,367 cal,1541 kJ,1 portion (37.5 g),136 cal,570 kJ,1 once (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Ready Brek,100g,359 cal,1508 kJ,1 portion (37.5 g),133 cal,558 kJ,1 once (28 g),101 cal,422 kJ
"Oatmeal, Muesli & Cereals",Rice Chex,100g,387 cal,1625 kJ,1 portion (37.5 g),143 cal,601 kJ,1 once (28 g),108 cal,455 kJ
"Oatmeal, Muesli & Cereals",Rice Krispies,100g,394 cal,1655 kJ,1 portion (37.5 g),146 cal,612 kJ,1 once (28 g),110 cal,463 kJ
